search_query,job_title,company_name,job_url,sorted_by_model
Machine Learning Germn,Senior Data Scientist,SoTalent,https://de.linkedin.com/jobs/view/senior-data-scientist-at-sotalent-4423132930,gemini/gemini-2.5-flash
Machine Learning Germn,Senior Data Engineer (m/w/d),CHG-MERIDIAN,https://de.linkedin.com/jobs/view/senior-data-engineer-m-w-d-at-chg-meridian-4427011790,gemini/gemini-2.5-flash
Machine Learning Germn,Senior DataOps Engineer / Software Engineer,Zero to One Search | Recruitment Agency,https://de.linkedin.com/jobs/view/senior-dataops-engineer-software-engineer-at-zero-to-one-search-recruitment-agency-4423104619,gemini/gemini-2.5-flash
Machine Learning Germn,Senior Software Engineer* - Automatisierung & AI // bis zu 85.000€ (*m/w/d),NXT Hero,https://de.linkedin.com/jobs/view/senior-software-engineer-automatisierung-ai-bis-zu-85-000%E2%82%AC-m-w-d-at-nxt-hero-4426045406,gemini/gemini-2.5-flash
Machine Learning Germn,Senior Software Engineer (m/f/d),Code Compass 🧭,https://de.linkedin.com/jobs/view/senior-software-engineer-m-f-d-at-code-compass-%F0%9F%A7%AD-4426798775,gemini/gemini-2.5-flash
Machine Learning Germn,"Senior software engineer (f/m/d, freelance or permanent)",Frieda Health,https://de.linkedin.com/jobs/view/senior-software-engineer-f-m-d-freelance-or-permanent-at-frieda-health-4423156149,gemini/gemini-2.5-flash
Machine Learning Germn,"Founding Software Engineer (Backend, Cloud & AI Infrastructure)",NexTexAI,https://de.linkedin.com/jobs/view/founding-software-engineer-backend-cloud-ai-infrastructure-at-nextexai-4426096307,gemini/gemini-2.5-flash
Machine Learning Germn,Freelance Data Scraping Engineer (Python),Mindrift,https://de.linkedin.com/jobs/view/freelance-data-scraping-engineer-python-at-mindrift-4427033607,gemini/gemini-2.5-flash
Machine Learning Germn,Freelance Data Scraping Engineer (Python),Mindrift,https://de.linkedin.com/jobs/view/freelance-data-scraping-engineer-python-at-mindrift-4427031688,gemini/gemini-2.5-flash
Machine Learning Germn,Freelance Data Scraping Engineer (Python),Mindrift,https://de.linkedin.com/jobs/view/freelance-data-scraping-engineer-python-at-mindrift-4427028611,gemini/gemini-2.5-flash
Machine Learning Germn,Freelance Data Scraping Engineer (Python),Mindrift,https://de.linkedin.com/jobs/view/freelance-data-scraping-engineer-python-at-mindrift-4427024689,gemini/gemini-2.5-flash
Machine Learning Germn,Freelance Data Scraping Engineer (Python),Mindrift,https://de.linkedin.com/jobs/view/freelance-data-scraping-engineer-python-at-mindrift-4427025637,gemini/gemini-2.5-flash
Machine Learning Germn,Freelance Data Scraping Engineer (Python),Mindrift,https://de.linkedin.com/jobs/view/freelance-data-scraping-engineer-python-at-mindrift-4427021711,gemini/gemini-2.5-flash
